query_id,category,follow_up_query,expected,predicted
QR_001,Pronoun resolution,Was it normal?,Was my haemoglobin value normal?,What is considered normal for haemoglobin levels?
QR_002,Pronoun resolution,Was it within range?,Was my glucose value within the reference range?,What is the current range of my glucose levels?
QR_003,Pronoun resolution,Is that high?,Is my creatinine value high?,"What is the value of your creatinine? (If known, is it high?)"
QR_004,Pronoun resolution,Can you explain it?,Can you explain my HbA1c result?,What is an explanation of HbA1c?
QR_005,Pronoun resolution,Is this normal?,Is my TSH value normal?,What is the normal range for TSH levels?
QR_006,Pronoun resolution,Is it improving?,Is my haemoglobin improving over time?,Has my haemoglobin improved?
QR_007,Pronoun resolution,Is it getting worse?,Is my glucose getting worse over time?,What is the current status of your glucose levels?
QR_008,Pronoun resolution,What does that mean?,What does my creatinine trend mean?,What does the trend in my creatinine mean?
QR_009,Pronoun resolution,Can you explain them?,Can you explain my abnormal laboratory results?,What are the details of the abnormal results?
QR_010,Pronoun resolution,Why are they abnormal?,Why are my abnormal laboratory test results abnormal?,What is the reason for the abnormal test results?
QR_011,Pronoun resolution,Can you summarize them?,Can you summarize my medical records?,What is the summary of my medical records?
QR_012,Pronoun resolution,Can you explain that?,Can you explain the information in my medical reports?,"What does ""Can you explain that"" mean in the context of ""What is in my reports""?"
QR_013,Pronoun resolution,What does it do?,What does haemoglobin do?,What does haemoglobin do?
QR_014,Pronoun resolution,Why is it measured?,Why is HbA1c measured?,Why is HbA1c measured? (user's intent preserved)
QR_015,Pronoun resolution,Why is it tested?,Why is creatinine tested?,Why is creatinine tested?
QR_016,Pronoun resolution,What does it measure?,What does a sodium test measure?,What does sodium measure?
QR_017,Pronoun resolution,Was it low?,Was my platelet count low?,Was the platelet count low?
QR_018,Pronoun resolution,Was it elevated?,Was my WBC elevated?,Was my WBC elevated?
QR_019,Pronoun resolution,Was it low?,Was my vitamin D value low?,Was my vitamin D level low?
QR_020,Pronoun resolution,Is it stable?,Is my calcium stable over time?,"What is the current status of your calcium levels? (Stable, increased, or decreased?)"
QR_021,Pronoun resolution,Is it rising?,Is my ALT rising over time?,Is the trend of the ALT level increasing?
QR_022,Pronoun resolution,Which ones are high?,Which of my abnormal laboratory results are high?,What lab results are high for me?
QR_023,Pronoun resolution,Can you explain them?,Can you explain the main findings in my medical reports?,What are the details in the reports?
QR_024,Pronoun resolution,What does it indicate?,What does CRP indicate?,What does CRP indicate?
QR_025,Pronoun resolution,Why is it measured?,Why is albumin measured?,"Why is albumin measured? (Follow-up question to ""What is albumin?"")"
QR_026,Temporal reference,What was the previous one?,What was my previous haemoglobin value?,What was the most recent haemoglobin level?
QR_027,Temporal reference,What was the one before that?,What was my previous glucose value?,What was the previous glucose reading?
QR_028,Temporal reference,What was it before the latest result?,What was my creatinine value before the latest result?,What was the previous creatinine result?
QR_029,Temporal reference,What was the earlier result?,What was my earlier HbA1c result?,What was the previous HbA1c result?
QR_030,Temporal reference,What did I have before that?,What was my previous TSH value?,What was my previous TSH level?
QR_031,Temporal reference,And the earlier one?,What was my earlier sodium result?,What was the previous sodium level?
QR_032,Temporal reference,What about the prior test?,What was my previous potassium test result?,What was the result of the previous potassium test?
QR_033,Temporal reference,What was the result before it?,What was my previous calcium result?,What was the previous calcium level result?
QR_034,Temporal reference,What did the earlier test show?,What did my earlier ALT test show?,What was the result of the most recent ALT test?
QR_035,Temporal reference,What was the prior value?,What was my previous AST value?,What was the prior value?
QR_036,Temporal reference,What about earlier results?,How did my haemoglobin change in earlier results?,What were the earlier results of my haemoglobin?
QR_037,Temporal reference,What about before the latest test?,How did my glucose change before the latest test?,What was my previous glucose level?
QR_038,Temporal reference,What was the earlier trend?,What was the earlier trend in my creatinine?,What was the previous level of my creatinine?
QR_039,Temporal reference,How was it previously?,How was my HbA1c trending previously?,What was the previous HbA1c reading?
QR_040,Temporal reference,What about before that period?,What was my TSH trend before that period?,What was my TSH trend before the mentioned period?
QR_041,Temporal reference,What about the previous report?,What were my abnormal laboratory results in the previous report?,What is the information about the previous report regarding abnormal results?
QR_042,Temporal reference,What about my last report?,Which tests were abnormal in my last report?,What is the status of the results from the most recent report?
QR_043,Temporal reference,What about the earlier report?,What were the main findings in my earlier medical report?,What was the content of the earlier report?
QR_044,Temporal reference,What about the one before it?,Summarize the medical report before my latest report.,What was the content of the report prior to the latest one?
QR_045,Temporal reference,What was it in the earlier test?,What was my haemoglobin value in the earlier test?,What was the result of the most recent haemoglobin test?
QR_046,Temporal reference,What was it in the previous test?,What was my glucose value in the previous test?,What was the result of the most recent glucose test?
QR_047,Temporal reference,What was it in the last test?,What was my platelet count in the last test?,What was the latest platelet count in a previous test?
QR_048,Temporal reference,What was it in the earlier report?,What was my vitamin D value in the earlier report?,What was the value of my vitamin D in the most recent laboratory report?
QR_049,Temporal reference,How was it before the latest test?,How did my cholesterol compare with the latest test?,What was the previous level of the user's cholesterol?
QR_050,Temporal reference,What was the trend before that?,What was my CRP trend before that period?,What was the previous trend of the user's CRP?
QR_051,Ellipsis,And glucose?,What is my latest glucose value?,And glucose?
QR_052,Ellipsis,And haemoglobin?,What is my latest haemoglobin value?,And haemoglobin?
QR_053,Ellipsis,And urea?,What is my latest urea value?,And urea?
QR_054,Ellipsis,And potassium?,What is my latest potassium value?,And potassium?
QR_055,Ellipsis,And vitamin D?,What is my latest vitamin D value?,And vitamin D?
QR_056,Ellipsis,And AST?,What is my latest AST value?,And AST?
QR_057,Ellipsis,And RBC?,What is my latest RBC value?,And RBC?
QR_058,Ellipsis,And TSH?,What is my latest TSH value?,And TSH?
QR_059,Ellipsis,And glucose?,How is my glucose trending?,And glucose?
QR_060,Ellipsis,And HbA1c?,How is my HbA1c trending?,And HbA1c?
QR_061,Ellipsis,And urea?,How is my urea trending?,And urea?
QR_062,Ellipsis,And potassium?,How is my potassium trending?,And potassium?
QR_063,Ellipsis,And vitamin D?,How is my vitamin D trending?,And vitamin D?
QR_064,Ellipsis,And AST?,What is the trend in AST?,And AST?
QR_065,Ellipsis,And RBC?,What is the trend in RBC?,And RBC?
QR_066,Ellipsis,And HbA1c?,What is HbA1c?,And HbA1c?
QR_067,Ellipsis,And urea?,What is urea?,And urea?
QR_068,Ellipsis,And potassium?,What is potassium?,And potassium?
QR_069,Ellipsis,And vitamin D?,What is vitamin D?,And vitamin D?
QR_070,Ellipsis,And AST?,What is AST?,And AST?
QR_071,Ellipsis,And the normal ones?,What are the normal laboratory results in my records?,What are the normal results?
QR_072,Ellipsis,And the clinical notes?,What information is in my clinical notes?,And the clinical notes?
QR_073,Ellipsis,And medications?,What medications are mentioned in my medical reports?,And medications?
QR_074,Ellipsis,And the high ones?,Which of my abnormal laboratory results are high?,What are the high abnormal findings?
QR_075,Ellipsis,And the low ones?,Which of my abnormal laboratory results are low?,Which tests are low?
QR_076,Multi-turn reference,Was it normal?,Was my latest haemoglobin value normal?,What is the normal range for hemoglobin levels in adults?
QR_077,Multi-turn reference,What about the previous result?,Was my previous haemoglobin result normal?,What was the result of the previous haemoglobin test?
QR_078,Multi-turn reference,And before that?,What was my haemoglobin value before the previous result?,What was my previous haemoglobin level?
QR_079,Multi-turn reference,Was it high?,Was my latest glucose value high?,What is the current or most recent level of the user's glucose?
QR_080,Multi-turn reference,What about the previous test?,Was my glucose value high in the previous test?,What was the result of the previous glucose test?
QR_081,Multi-turn reference,Is that the current one?,Is that my latest HbA1c value?,What is the current user's latest HbA1c?
QR_082,Multi-turn reference,Was it higher than before?,Was my latest creatinine higher than my previous result?,What was the most recent creatinine level compared to the previous one?
QR_083,Multi-turn reference,When did it start increasing?,When did my glucose start increasing?,When did my glucose level start increasing?
QR_084,Multi-turn reference,When was the lowest?,When was my haemoglobin at its lowest?,When was the lowest?
QR_085,Multi-turn reference,Has it been stable recently?,Has my HbA1c been stable recently?,What has been the recent trend of the user's HbA1c levels?
QR_086,Multi-turn reference,Was it improving before?,Was my creatinine improving previously?,Was my creatinine trend improving before?
QR_087,Multi-turn reference,Which one is the most recent?,Which abnormal laboratory result is the most recent?,What is the most recent lab result for the user?
QR_088,Multi-turn reference,Which one is the oldest?,Which abnormal laboratory result is the oldest?,Which test was conducted first?
QR_089,Multi-turn reference,Were any of them repeated?,Were any of my abnormal laboratory findings repeated?,Were any of the abnormal findings repeated?
QR_090,Multi-turn reference,Which report is the latest?,Which medical report is the latest?,Which report is the latest?
QR_091,Multi-turn reference,What about the previous one?,Which medical report came before the latest report?,What is the most recent report compared to the prior one?
QR_092,Multi-turn reference,When was the latest one mentioned?,When was a medication most recently mentioned in my medical records?,What is the date of the latest medication mentioned in my records?
QR_093,Multi-turn reference,What about earlier notes?,What diagnoses were mentioned in earlier clinical notes?,What earlier notes contain diagnoses in my records?
QR_094,Multi-turn reference,How is it measured?,How is haemoglobin measured?,How is haemoglobin measured?
QR_095,Multi-turn reference,Why is it useful?,Why is haemoglobin measurement useful?,What is the utility of haemoglobin measurement?
QR_096,Multi-turn reference,How often is it measured?,How often is HbA1c measured?,How often is HbA1c measured?
QR_097,Multi-turn reference,Where does it come from?,Where does creatinine come from?,Where does creatinine originate from?
QR_098,Multi-turn reference,When is it usually tested?,When is CRP usually tested?,When is CRP (C-Reactive Protein) usually tested?
QR_099,Multi-turn reference,Why is it checked?,Why is TSH checked?,Why is TSH (Thyroid-stimulating hormone) checked?
QR_100,Multi-turn reference,Why is it important?,Why is vitamin D important?,Why is vitamin D important?
QR_101,Entity switching,What about glucose?,What is my latest glucose value?,What is the latest glucose level?
QR_102,Entity switching,What about creatinine?,What is my latest creatinine value?,What is my latest creatinine level?
QR_103,Entity switching,What about HbA1c?,What is my latest HbA1c value?,What is the user's latest HbA1c?
QR_104,Entity switching,What about TSH?,What is my latest TSH value?,What is the most recent TSH level?
QR_105,Entity switching,What about vitamin D?,What is my latest vitamin D value?,What is the current level of vitamin D for the user?
