query_id,category,conversation_context,follow_up_query,expected_rewritten_query,expected_intent,predicted_rewritten_query,rewrite_correct
QR_001,Pronoun resolution,What was my haemoglobin?,Was it normal?,Was my haemoglobin value normal?,LATEST_VALUE,,
QR_002,Pronoun resolution,What was my glucose?,Was it within range?,Was my glucose value within the reference range?,LATEST_VALUE,,
QR_003,Pronoun resolution,What is my creatinine?,Is that high?,Is my creatinine value high?,LATEST_VALUE,,
QR_004,Pronoun resolution,What is my HbA1c?,Can you explain it?,Can you explain my HbA1c result?,LATEST_VALUE,,
QR_005,Pronoun resolution,What is my TSH?,Is this normal?,Is my TSH value normal?,LATEST_VALUE,,
QR_006,Pronoun resolution,How has my haemoglobin changed?,Is it improving?,Is my haemoglobin improving over time?,TREND,,
QR_007,Pronoun resolution,How has my glucose changed?,Is it getting worse?,Is my glucose getting worse over time?,TREND,,
QR_008,Pronoun resolution,What is the trend in my creatinine?,What does that mean?,What does my creatinine trend mean?,TREND,,
QR_009,Pronoun resolution,What are my abnormal results?,Can you explain them?,Can you explain my abnormal laboratory results?,ABNORMAL_LABS,,
QR_010,Pronoun resolution,Which tests are abnormal?,Why are they abnormal?,Why are my abnormal laboratory test results abnormal?,ABNORMAL_LABS,,
QR_011,Pronoun resolution,Tell me about my medical records.,Can you summarize them?,Can you summarize my medical records?,GENERAL_RAG,,
QR_012,Pronoun resolution,What is in my reports?,Can you explain that?,Can you explain the information in my medical reports?,GENERAL_RAG,,
QR_013,Pronoun resolution,What is haemoglobin?,What does it do?,What does haemoglobin do?,MEDICAL_DEFINITION,,
QR_014,Pronoun resolution,What is HbA1c?,Why is it measured?,Why is HbA1c measured?,MEDICAL_DEFINITION,,
QR_015,Pronoun resolution,What is creatinine?,Why is it tested?,Why is creatinine tested?,MEDICAL_DEFINITION,,
QR_016,Pronoun resolution,What is sodium?,What does it measure?,What does a sodium test measure?,MEDICAL_DEFINITION,,
QR_017,Pronoun resolution,What was my platelet count?,Was it low?,Was my platelet count low?,LATEST_VALUE,,
QR_018,Pronoun resolution,What was my WBC?,Was it elevated?,Was my WBC elevated?,LATEST_VALUE,,
QR_019,Pronoun resolution,What was my vitamin D?,Was it low?,Was my vitamin D value low?,LATEST_VALUE,,
QR_020,Pronoun resolution,How has my calcium changed?,Is it stable?,Is my calcium stable over time?,TREND,,
QR_021,Pronoun resolution,What is the trend in my ALT?,Is it rising?,Is my ALT rising over time?,TREND,,
QR_022,Pronoun resolution,What are my abnormal lab results?,Which ones are high?,Which of my abnormal laboratory results are high?,ABNORMAL_LABS,,
QR_023,Pronoun resolution,What are the main findings in my reports?,Can you explain them?,Can you explain the main findings in my medical reports?,GENERAL_RAG,,
QR_024,Pronoun resolution,What is CRP?,What does it indicate?,What does CRP indicate?,MEDICAL_DEFINITION,,
QR_025,Pronoun resolution,What is albumin?,Why is it measured?,Why is albumin measured?,MEDICAL_DEFINITION,,
QR_026,Temporal reference,What was my latest haemoglobin?,What was the previous one?,What was my previous haemoglobin value?,LATEST_VALUE,,
QR_027,Temporal reference,What was my latest glucose?,What was the one before that?,What was my previous glucose value?,LATEST_VALUE,,
QR_028,Temporal reference,What is my latest creatinine?,What was it before the latest result?,What was my creatinine value before the latest result?,LATEST_VALUE,,
QR_029,Temporal reference,What is my latest HbA1c?,What was the earlier result?,What was my earlier HbA1c result?,LATEST_VALUE,,
QR_030,Temporal reference,What was my latest TSH?,What did I have before that?,What was my previous TSH value?,LATEST_VALUE,,
QR_031,Temporal reference,What was my latest sodium?,And the earlier one?,What was my earlier sodium result?,LATEST_VALUE,,
QR_032,Temporal reference,What is my latest potassium?,What about the prior test?,What was my previous potassium test result?,LATEST_VALUE,,
QR_033,Temporal reference,What is my latest calcium?,What was the result before it?,What was my previous calcium result?,LATEST_VALUE,,
QR_034,Temporal reference,What was my latest ALT?,What did the earlier test show?,What did my earlier ALT test show?,LATEST_VALUE,,
QR_035,Temporal reference,What was my latest AST?,What was the prior value?,What was my previous AST value?,LATEST_VALUE,,
QR_036,Temporal reference,How has my haemoglobin changed?,What about earlier results?,How did my haemoglobin change in earlier results?,TREND,,
QR_037,Temporal reference,How has my glucose changed?,What about before the latest test?,How did my glucose change before the latest test?,TREND,,
QR_038,Temporal reference,How has my creatinine changed?,What was the earlier trend?,What was the earlier trend in my creatinine?,TREND,,
QR_039,Temporal reference,What is my HbA1c trend?,How was it previously?,How was my HbA1c trending previously?,TREND,,
QR_040,Temporal reference,What is my TSH trend?,What about before that period?,What was my TSH trend before that period?,TREND,,
QR_041,Temporal reference,What are my abnormal results?,What about the previous report?,What were my abnormal laboratory results in the previous report?,ABNORMAL_LABS,,
QR_042,Temporal reference,Which tests are abnormal?,What about my last report?,Which tests were abnormal in my last report?,ABNORMAL_LABS,,
QR_043,Temporal reference,What are the main findings in my records?,What about the earlier report?,What were the main findings in my earlier medical report?,GENERAL_RAG,,
QR_044,Temporal reference,Summarize my latest report.,What about the one before it?,Summarize the medical report before my latest report.,GENERAL_RAG,,
QR_045,Temporal reference,What is my latest haemoglobin?,What was it in the earlier test?,What was my haemoglobin value in the earlier test?,LATEST_VALUE,,
QR_046,Temporal reference,What is my latest glucose?,What was it in the previous test?,What was my glucose value in the previous test?,LATEST_VALUE,,
QR_047,Temporal reference,What is my latest platelet count?,What was it in the last test?,What was my platelet count in the last test?,LATEST_VALUE,,
QR_048,Temporal reference,What is my latest vitamin D?,What was it in the earlier report?,What was my vitamin D value in the earlier report?,LATEST_VALUE,,
QR_049,Temporal reference,How has my cholesterol changed?,How was it before the latest test?,How did my cholesterol compare with the latest test?,TREND,,
