query_id,category,query,expected_intent,expected_entity,predicted_intent,predicted_entity,intent_correct,entity_correct
IC_001,Direct question,What is my latest haemoglobin?,LATEST_VALUE,haemoglobin,,,,
IC_002,Direct question,What is my latest glucose value?,LATEST_VALUE,glucose,,,,
IC_003,Direct question,What is my latest creatinine result?,LATEST_VALUE,creatinine,,,,
IC_004,Direct question,How has my haemoglobin changed over time?,TREND,haemoglobin,,,,
IC_005,Direct question,Is my glucose increasing or decreasing?,TREND,glucose,,,,
IC_006,Direct question,What is the trend in my HbA1c?,TREND,HbA1c,,,,
IC_007,Direct question,What is haemoglobin?,MEDICAL_DEFINITION,haemoglobin,,,,
IC_008,Direct question,What does HbA1c mean?,MEDICAL_DEFINITION,HbA1c,,,,
IC_009,Direct question,Why is creatinine measured?,MEDICAL_DEFINITION,creatinine,,,,
IC_010,Direct question,What are my abnormal lab results?,ABNORMAL_LABS,,,,,
IC_011,Direct question,Which of my tests are outside the normal range?,ABNORMAL_LABS,,,,,
IC_012,Direct question,Do I have any abnormal laboratory results?,ABNORMAL_LABS,,,,,
IC_013,Direct question,Tell me about my medical records.,GENERAL_RAG,,,,,
IC_014,Direct question,What are the main findings in my reports?,GENERAL_RAG,,,,,
IC_015,Direct question,Can you summarize my medical information?,GENERAL_RAG,,,,,
IC_016,Direct question,What is my latest platelet count?,LATEST_VALUE,platelet count,,,,
IC_017,Direct question,How has my TSH changed?,TREND,TSH,,,,
IC_018,Direct question,What is vitamin D?,MEDICAL_DEFINITION,vitamin D,,,,
IC_019,Direct question,Which laboratory values are abnormal?,ABNORMAL_LABS,,,,,
IC_020,Direct question,What information is available in my uploaded reports?,GENERAL_RAG,,,,,
IC_021,Natural conversational,Can you tell me what my most recent haemoglobin was?,LATEST_VALUE,haemoglobin,,,,
IC_022,Natural conversational,Could you show me my current glucose result?,LATEST_VALUE,glucose,,,,
IC_023,Natural conversational,Can you check my latest creatinine level?,LATEST_VALUE,creatinine,,,,
IC_024,Natural conversational,Do you know what my most recent HbA1c was?,LATEST_VALUE,HbA1c,,,,
IC_025,Natural conversational,Could you tell me whether my haemoglobin has been going up or down?,TREND,haemoglobin,,,,
IC_026,Natural conversational,Can you tell me how my glucose has been changing?,TREND,glucose,,,,
IC_027,Natural conversational,Could you check whether my creatinine is stable?,TREND,creatinine,,,,
IC_028,Natural conversational,Can you explain what haemoglobin is?,MEDICAL_DEFINITION,haemoglobin,,,,
IC_029,Natural conversational,Could you tell me what an HbA1c test is for?,MEDICAL_DEFINITION,HbA1c,,,,
IC_030,Natural conversational,Can you explain why doctors measure TSH?,MEDICAL_DEFINITION,TSH,,,,
IC_031,Natural conversational,Could you show me which of my lab results are abnormal?,ABNORMAL_LABS,,,,,
IC_032,Natural conversational,Can you check if any of my blood tests are abnormal?,ABNORMAL_LABS,,,,,
IC_033,Natural conversational,Could you tell me which results fall outside their reference ranges?,ABNORMAL_LABS,,,,,
IC_034,Natural conversational,Can you give me an overview of my medical records?,GENERAL_RAG,,,,,
IC_035,Natural conversational,Could you go through the important information in my reports?,GENERAL_RAG,,,,,
IC_036,Natural conversational,Can you explain what my uploaded records contain?,GENERAL_RAG,,,,,
IC_037,Natural conversational,Would you tell me my most recent platelet count?,LATEST_VALUE,platelet count,,,,
IC_038,Natural conversational,Can you tell me whether my TSH has changed over time?,TREND,TSH,,,,
IC_039,Natural conversational,Could you explain what vitamin D is?,MEDICAL_DEFINITION,vitamin D,,,,
IC_040,Natural conversational,Can you identify any abnormal findings in my reports?,ABNORMAL_LABS,,,,,
IC_041,Natural conversational,Could you summarize the main points from my medical documents?,GENERAL_RAG,,,,,
IC_042,Natural conversational,Would you check my latest sodium result?,LATEST_VALUE,sodium,,,,
IC_043,Natural conversational,Can you tell me whether my potassium has been stable?,TREND,potassium,,,,
IC_044,Natural conversational,Could you explain what creatinine means?,MEDICAL_DEFINITION,creatinine,,,,
IC_045,Natural conversational,Can you list the abnormal values found in my lab reports?,ABNORMAL_LABS,,,,,
IC_046,Indirect request,I want to know my most recent haemoglobin value.,LATEST_VALUE,haemoglobin,,,,
IC_047,Indirect request,I'd like to see my current glucose result.,LATEST_VALUE,glucose,,,,
IC_048,Indirect request,I'm trying to find my latest creatinine reading.,LATEST_VALUE,creatinine,,,,
IC_049,Indirect request,I want to know whether my haemoglobin has changed.,TREND,haemoglobin,,,,
IC_050,Indirect request,I'd like to know if my glucose has been increasing.,TREND,glucose,,,,
IC_051,Indirect request,I'm interested in the trend of my HbA1c.,TREND,HbA1c,,,,
IC_052,Indirect request,I'd like to understand what haemoglobin is.,MEDICAL_DEFINITION,haemoglobin,,,,
IC_053,Indirect request,I want to know what an HbA1c test measures.,MEDICAL_DEFINITION,HbA1c,,,,
IC_054,Indirect request,I'm trying to understand why creatinine is tested.,MEDICAL_DEFINITION,creatinine,,,,
IC_055,Indirect request,I want to find out which of my tests are abnormal.,ABNORMAL_LABS,,,,,
IC_056,Indirect request,I'd like to know whether any of my lab results are outside the normal range.,ABNORMAL_LABS,,,,,
IC_057,Indirect request,I'm trying to identify the abnormal findings in my reports.,ABNORMAL_LABS,,,,,
IC_058,Indirect request,I want an overview of the information in my medical records.,GENERAL_RAG,,,,,
IC_059,Indirect request,I'd like to understand the main findings across my reports.,GENERAL_RAG,,,,,
IC_060,Indirect request,I'm trying to get a summary of my uploaded medical documents.,GENERAL_RAG,,,,,
IC_061,Indirect request,I need to find my most recent platelet result.,LATEST_VALUE,platelet count,,,,
IC_062,Indirect request,I'm interested in how my TSH has changed.,TREND,TSH,,,,
IC_063,Indirect request,I'd like to understand what vitamin D means in a blood test.,MEDICAL_DEFINITION,vitamin D,,,,
IC_064,Indirect request,I want to identify any abnormal laboratory values.,ABNORMAL_LABS,,,,,
IC_065,Indirect request,I'm looking for the important information in my medical history.,GENERAL_RAG,,,,,
IC_066,Short/elliptical,Latest Hb?,LATEST_VALUE,haemoglobin,,,,
IC_067,Short/elliptical,Current glucose?,LATEST_VALUE,glucose,,,,
IC_068,Short/elliptical,Most recent creatinine?,LATEST_VALUE,creatinine,,,,
IC_069,Short/elliptical,Latest HbA1c?,LATEST_VALUE,HbA1c,,,,
IC_070,Short/elliptical,Hb trend?,TREND,haemoglobin,,,,
IC_071,Short/elliptical,Glucose trend?,TREND,glucose,,,,
IC_072,Short/elliptical,Creatinine over time?,TREND,creatinine,,,,
IC_073,Short/elliptical,What is Hb?,MEDICAL_DEFINITION,haemoglobin,,,,
IC_074,Short/elliptical,HbA1c meaning?,MEDICAL_DEFINITION,HbA1c,,,,
IC_075,Short/elliptical,TSH definition?,MEDICAL_DEFINITION,TSH,,,,
IC_076,Short/elliptical,Abnormal labs?,ABNORMAL_LABS,,,,,
