query_id,query,expected_intent,predicted_intent,predicted_intents,correct,error,raw_response
INT001,What is my latest A/G RATIO?,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""A_G_RATIO""}]}"
INT002,"Show me the most recent ALBUMIN, SERUM result.",LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE"", ""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""ALBUMIN""}, {""intent"": ""LATEST_VALUE"", ""entity"": ""SERUM""}]}"
INT003,What's my current ASPARTATE AMINO TRANSFERASE (SGOT/AST) value?,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""ASPARTATE_AMINO_TRANSFERASE""}]}"
INT004,Can you find my newest Albumin - Serum Method : Bromcresol green reading?,LATEST_VALUE,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",False,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS"", ""entity"": ""ALBUMIN_SERUM""}]}"
INT005,What did my latest report say about Anti HAV IgM (Interpretation)?,LATEST_VALUE,ABNORMAL_LABS,"[""ABNORMAL_LABS""]",False,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""ABNORMAL_LABS"", ""entity"": ""ANTI_HAV_IgM""}]}"
INT006,I need my latest BASO# result.,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""BASO#""}]}"
INT007,Tell me the most recent value for BILIRUBIN INDIRECT.,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""BILIRUBIN_INDIRECT""}]}"
INT008,Where is my latest BLOOD GROUP result?,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""BLOOD_GROUP""}]}"
INT009,What was my Bile salt in the latest test?,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""BILE_SALT""}]}"
INT010,Give me the current recorded Bilirubin - Total Method : Mod. Jendrassik & Grof's.,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""BILIRUBIN_TOTAL""}]}"
INT011,What is my latest Blood Urea?,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""Blood Urea""}]}"
INT012,Show me the most recent Creatinine - Serum result.,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""CREATININE_SERUM""}]}"
INT013,What's my current DENGUE IGG value?,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""DENGUE IGG""}]}"
INT014,Can you find my newest DIRECT BILIRUBIN reading?,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""DIRECT_BILIRUBIN""}]}"
INT015,What did my latest report say about EF?,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""EF""}]}"
INT016,I need my latest EOSINOPHIL result.,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""EOSINOPHIL""}]}"
INT017,Tell me the most recent value for ESV.,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""ESV""}]}"
INT018,Where is my latest FASTING BLOOD SUGAR result?,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""FASTING BLOOD SUGAR""}]}"
INT019,What was my Fasting Blood Glucose Method : GOD-POD in the latest test?,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""Fasting Blood Glucose, Method: GOD-POD""}]}"
INT020,Give me the current recorded GAMMA GLUTAMYL TRANSFERASE(GGT).,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""GAMMA GLUTAMYL TRANSFERASE""}]}"
INT021,What is my latest GLOBULIN?,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""GLOBULIN""}]}"
INT022,Show me the most recent Glycosylated Haemoglobin (HbA1c) result.,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""GLYCOSYLATED_HAEMOGLOBIN""}]}"
INT023,What's my current HAEMOGLOBIN value?,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""HAEMOGLOBIN""}]}"
INT024,Can you find my newest HCT reading?,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""HCT""}]}"
INT025,What did my latest report say about HDL Cholesterol Method : Direct?,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""HDL_CHOLESTEROL""}]}"
INT026,I need my latest HGB result.,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""HGB""}]}"
INT027,Tell me the most recent value for IG#.,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""IG""}]}"
INT028,Where is my latest IVSd result?,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""IVSd""}]}"
INT029,What was my LDL CHOLESTROL in the latest test?,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""LDL_CHOLESTROL""}]}"
INT030,Give me the current recorded LVIDd.,LATEST_VALUE,LATEST_VALUE,"[""LATEST_VALUE""]",True,,"{""greeting"": false, ""thanks"": false, ""bye"": false, ""tasks"": [{""intent"": ""LATEST_VALUE"", ""entity"": ""LVIDd""}]}"
