query_id,query,entity,expected_intent,expected_behavior
DEF001,What is A/G RATIO?,A/G RATIO,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF002,What does A/G Ratio Method : Calculation mean?,A/G Ratio Method : Calculation,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF003,Can you explain ALANINE AMINOTRANSFERASE (SGPT/ALT)?,ALANINE AMINOTRANSFERASE (SGPT/ALT),MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF004,"What is meant by ALBUMIN, SERUM?","ALBUMIN, SERUM",MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF005,Could you give me a simple explanation of ALBUMIN/GLOBULIN RATIO?,ALBUMIN/GLOBULIN RATIO,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF006,Tell me what ALKALINE PHOSPHATASE is.,ALKALINE PHOSPHATASE,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF007,Can you define ASPARTATE AMINO TRANSFERASE (SGOT/AST) in simple terms?,ASPARTATE AMINO TRANSFERASE (SGOT/AST),MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF008,What does the term AVERAGE BLOOD GLUCOSE (CALCULATED) refer to?,AVERAGE BLOOD GLUCOSE (CALCULATED),MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF009,What is Albumin?,Albumin,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF010,What does Albumin - Serum Method : Bromcresol green mean?,Albumin - Serum Method : Bromcresol green,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF011,Can you explain Albumin - Serum Method: Bromcresol green?,Albumin - Serum Method: Bromcresol green,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF012,What is meant by Alkaline Phosphatase?,Alkaline Phosphatase,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF013,Could you give me a simple explanation of Anti HAV IgM (Interpretation)?,Anti HAV IgM (Interpretation),MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF014,"Tell me what Anti HAV IgM, Serum is.","Anti HAV IgM, Serum",MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF015,Can you define Aortic root in simple terms?,Aortic root,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF016,What does the term BASO# refer to?,BASO#,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF017,What is BASO%?,BASO%,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF018,What does BASOPHILS mean?,BASOPHILS,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF019,Can you explain BILIRUBIN INDIRECT?,BILIRUBIN INDIRECT,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF020,What is meant by BILIRUBIN TOTAL?,BILIRUBIN TOTAL,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF021,"Could you give me a simple explanation of BILIRUBIN, DIRECT?","BILIRUBIN, DIRECT",MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF022,Tell me what BLOOD GROUP is.,BLOOD GROUP,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF023,Can you define Basophils in simple terms?,Basophils,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF024,What does the term Bile Pigment refer to?,Bile Pigment,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF025,What is Bile salt?,Bile salt,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF026,What does Bilirubin - Direct Method : Mod. Jendrassik & Grof's mean?,Bilirubin - Direct Method : Mod. Jendrassik & Grof's,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF027,Can you explain Bilirubin - Indirect Method : Calculation?,Bilirubin - Indirect Method : Calculation,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF028,What is meant by Bilirubin - Total Method : Mod. Jendrassik & Grof's?,Bilirubin - Total Method : Mod. Jendrassik & Grof's,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF029,Could you give me a simple explanation of Bilirubin - Total Method : Mod. Jendrassik&Grof's?,Bilirubin - Total Method : Mod. Jendrassik&Grof's,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF030,Tell me what Bilirubin - Total Method: Mod. Jendrassik & Grof's is.,Bilirubin - Total Method: Mod. Jendrassik & Grof's,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF031,Can you define Blood Urea in simple terms?,Blood Urea,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF032,What does the term Cast refer to?,Cast,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF033,What is Chol/HDL Ratio?,Chol/HDL Ratio,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF034,What does Creatinine - Serum mean?,Creatinine - Serum,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF035,Can you explain Creatinine - Serum Method: Jaffe's Kinetic?,Creatinine - Serum Method: Jaffe's Kinetic,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF036,What is meant by Crystals?,Crystals,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF037,Could you give me a simple explanation of DENGUE IGG?,DENGUE IGG,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
DEF038,Tell me what DENGUE IGM is.,DENGUE IGM,MEDICAL_DEFINITION,"Provide a concise, patient-friendly definition without treating the question as a request for the patient's own result."
